word,coefficient,sentiment,overlaps_with_negative
thank,4.325694458811266,positive,False
great,4.277715673636673,positive,False
good,3.7815746078132424,positive,False
win,3.6963654686626524,positive,False
strong,3.0806479068459294,positive,False
best,2.993982717538887,positive,False
congratulations,2.9920735790938795,positive,False
happy,2.91670894912188,positive,False
love,2.8806793152154486,positive,False
thanks,2.7661194444379373,positive,False
incredible,2.6208152844493493,positive,False
proud,2.5049895954050143,positive,False
amazing,2.4822571258390225,positive,False
wonderful,2.4792934305130725,positive,False
honor,2.436977373180035,positive,False
winning,2.385684697895416,positive,False
tremendous,2.347777076355644,positive,False
beautiful,2.2500687624431914,positive,False
huge,2.038260043112727,positive,False
respect,1.9854096507704988,positive,False
successful,1.9624555654477789,positive,False
positive,1.7919770354468831,positive,False
fantastic,1.6942009449665403,positive,False
success,1.4982622222064494,positive,False
excellent,1.4710812919346967,positive,False
honored,1.4260191003459546,positive,False
outstanding,1.3055798146032136,positive,False
winner,1.300354734844631,positive,False
strongest,1.1110918588649792,positive,False
terrific,1.0809416909180554,positive,False
grateful,0.9835358987314315,positive,False
endorsement,0.6626902085195032,positive,False
miami,0.6473169240205171,positive,False
winners,0.5339220784374503,positive,False
women,0.49196494689235276,positive,False
2020,0.48408452260392154,positive,False
world,0.4795471474102851,positive,False
welcome,0.4791710274093717,positive,False
flotus,0.472665850720826,positive,False
west,0.46810593770718006,positive,False
achievement,0.45727624613478335,positive,False
future,0.42305024860331686,positive,False
birthday,0.4131372625788126,positive,False
melania,0.39605273751520936,positive,False
economic,0.3928820373415871,positive,False
heroes,0.38330277281590225,positive,False
flag,0.3805887381455261,positive,False
am,0.3714801650513211,positive,False
members,0.36328590260202753,positive,False
players,0.3621518574285294,positive,False
